Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
1,09/11/1985,4.6,,1.4,,25,55,53,
7000119,08/13/2014,4.25,NO,1.3,,,56,,
7000119,09/22/2014,4.25,NO,1.3,,,56,,
7000119,06/05/2015,5.75,NO,1.7,,,52,,
7000119,07/27/2015,5.5,NO,1.7,,,53,,
7000119,08/31/2015,5.75,NO,1.7,,,52,,
7000119,06/07/2016,4.5,NO,1.4,,,55,,
7000119,07/25/2016,5.75,NO,1.7,,,52,,
7000119,08/26/2016,4.75,NO,1.4,,,55,,
7000119,07/20/2017,2.75,NO,0.8,,,63,,
7000119,09/22/2017,4,NO,1.2,,,57,,
