Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lake Alice,Lincoln,1555900,NO,35,,10042173,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
99583116,05/22/2014,3.8,NO,1.2,,,58,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,06/04/2014,3.75,NO,1.1,,,58,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,06/19/2014,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,07/02/2014,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,07/13/2014,3.25,NO,1,,,60,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,07/24/2014,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
18138255,07/25/2014,3,,0.9,22.8,49.1,61,58,58,,,,,
34997658,07/25/2014,3,NO,0.9,,,61,,,,,,,
99583116,08/07/2014,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,08/20/2014,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,09/02/2014,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,10/16/2014,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,05/20/2015,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,06/02/2015,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,06/12/2015,3.75,NO,1.1,,,58,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,06/24/2015,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,07/10/2015,3.75,NO,1.1,,,58,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
99583116,07/23/2015,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
99583116,08/06/2015,3.75,NO,1.1,,,58,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,08/26/2015,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,09/09/2015,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,09/21/2015,3.75,NO,1.1,,,58,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,06/01/2016,4.25,NO,1.3,,,56,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,06/27/2016,3.25,NO,1,,,60,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,07/12/2016,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,07/25/2016,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,08/08/2016,2.75,NO,0.8,,,63,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
99583116,08/29/2016,3.25,NO,1,,,60,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,09/18/2016,2.75,NO,0.8,,,63,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
99583116,05/25/2017,3.25,NO,1,,,60,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,06/06/2017,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,06/27/2017,2.75,NO,0.8,,,63,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,07/10/2017,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,07/21/2017,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,08/04/2017,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,08/16/2017,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,08/28/2017,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,09/19/2017,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,10/04/2017,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/25/2014,0,METERS,22.8,DEGREES C,8.5,MG/L
07/25/2014,1,METERS,23.1,DEGREES C,8.49,MG/L
07/25/2014,2,METERS,23.2,DEGREES C,8.44,MG/L
07/25/2014,3,METERS,23.1,DEGREES C,8.13,MG/L
07/25/2014,4,METERS,22.8,DEGREES C,5.5,MG/L
07/25/2014,4.5,METERS,21.7,DEGREES C,4.75,MG/L
07/25/2014,5,METERS,21.7,DEGREES C,4.44,MG/L
07/25/2014,6,METERS,21,DEGREES C,4,MG/L
07/25/2014,7,METERS,21,DEGREES C,3.69,MG/L
07/25/2014,,,22.8,C,8.5,MG/L



Start Date,Fieldwork Comment
05/22/2014,25 feet of water. Overcast. 25 feet of water. Overcast.
06/19/2014,clear- breezy- no boats Clear and breezy. No boats.
07/02/2014,sunny- cool- slight breeze
08/07/2014,Mostly sunny. Few clouds. Slight breeze. Water temperature 78 degrees.
08/20/2014,Mostly cloudy. Some sun. Slight breeze. Water temperature 72 degrees.
09/02/2014,Mostly sunny. Few clouds. Slight breeze. water temperature 70 degrees.
10/16/2014,Mostly cloudy. Little sun. Water temperature 49 degrees. Mostly cloudy. Little sun. Water temperature 49 degrees.
05/20/2015,Partly cloudy. Slight breeze. water temperature 60 degrees. No boats. 
06/02/2015,Clear- slight wind. water temperature 66 degrees F. No boats.
06/12/2015,Slight NE breeze. Clear. Water temperature 69 degrees. No boats. Heard a loon.
06/24/2015,Partly cloudy. Slight wind from SW. Water temperature 73 degrees. Few boats.
07/10/2015,Partly cloudy. Slight breeze from southwest. water temperature 75 degrees.Two boats.
07/23/2015,Very little wind from west. Water temperature 78 degrees F. 
08/06/2015,Slight wind from south. Mostly sunny. Water temperature 74 degrees F.
08/26/2015,Very little wind from west. Mostly sunny. Water temperature 66 degrees F. 
2 boats.
09/09/2015,Slight wind from southwest. Mostly cloudy. Little sun. water temperature 72 degrees. F. 1 boat.
09/21/2015,Fairly windy from south. Perfect blue sky. no clouds. water temperature 65 degrees F.
06/01/2016,Water temperature 69 degrees. Partly cloudy- windy- no boats. Rained last night.
06/27/2016,water temperature 74 degrees. overcast- no sun. Rained 2.75 inches two nights ago.
07/12/2016,water temperature 74 degrees. cloudy- wind from SW- windy. some white caps. no boats.
07/25/2016,water temperature 80 degrees. mostly sunny- slight breeze from west. 5 boats out.
08/08/2016,water temperature 78 degrees. mostly sunny. slight breeze from the south. no boats out.
08/29/2016,water temperature 73 degrees. light thin clouds. strong breeze from south. 1 boat out.
09/18/2016,water temperature 66 degrees. Clear- sunny day. very slight breeze. 2 boats out.
05/25/2017,slight breeze from the east. Partly cloudy- water temperature 62 degrees. No boats.  
06/06/2017,very slight breeze from north. Clear blue sky- water temperature 72 degrees. Saw 4 boats.
06/27/2017,slight breeze from south west. Partly cloudy. Saw one boat
07/10/2017,Almost no wind. Partly sunny. Saw 4 boats.
07/21/2017,A little windy from south. Thin clouds and hazy.
08/04/2017,Good breeze from the west. Mostly clouds and cool. No boats. 1.5 inches of rain yesterday.
08/16/2017,Good breeze from east. Thin clouds- some sun. Saw 4 boats.
08/28/2017,slight breeze from the east. Partly cloudy- no boats.
09/19/2017,Good breeze from the east. Partly cloudy- mostly sun. saw 2 boats.
10/04/2017,strong breeze from west- mostly sunny. Water temperature 57 degrees. Had one inch of rain last night.




Start Date,Group Name,Project Name
05/22/2014,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
06/04/2014,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
06/19/2014,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
07/02/2014,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
07/13/2014,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
07/24/2014,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
07/25/2014,Angie Stine,LAKE ALICE ASSOCIATION- INC: Lake Alice Stewardship Program: Phase 3 People- Plants- Animals + Habitats
07/25/2014,Lae Alice Assn,LAKE ALICE ASSOCIATION- INC: Lake Alice Stewardship Program: Phase 3 People- Plants- Animals + Habitats
08/07/2014,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
08/20/2014,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
09/02/2014,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
10/16/2014,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
05/20/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
06/02/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
06/12/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
06/24/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
07/10/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
07/23/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
08/06/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
08/26/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
09/09/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
09/21/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
06/01/2016,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
06/27/2016,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
07/12/2016,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
07/25/2016,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
08/08/2016,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
08/29/2016,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
09/18/2016,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
05/25/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
06/06/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
06/27/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
07/10/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
07/21/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
08/04/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
08/16/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
08/28/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
09/19/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
10/04/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Generator Island
