Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
8191209,05/18/2004,19.75,NO,6,,,34,,
8191209,07/05/2004,10,NO,3,7.02,20,44,51,50
8191210,07/29/2004,6,NO,1.8,,,51,,
8191209,08/04/2004,6.5,NO,2,12.5,21,50,52,54
8191209,08/31/2004,5,NO,1.5,13.1,27,54,54,54
8191210,09/27/2004,11,NO,3.3,,,43,,
8191209,10/12/2004,13.25,NO,4,7.11,24,40,53,50
65256837,06/26/2015,5.75,NO,1.7,,,52,,
65256837,07/25/2015,4.25,NO,1.3,,,56,,
65256837,08/31/2015,4.5,NO,1.4,,,55,,
65256837,08/31/2017,4,NO,1.2,,,57,,
