Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Unnamed,Vilas,2017500,NO,64,,10044915,NE,



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
7000080,09/13/2007,,,,,24,,53,,,,,,
7000080,11/14/2007,,,,,21,,52,,,,,,
7000080,03/13/2008,,,,,30,,54,,,,,,
7000080,05/08/2008,,,,,26,,53,,,,,,
7000080,09/03/2008,,,,,16,,50,,,,,,
7000080,10/30/2008,,,,,19,,51,,,,,,
7000080,02/25/2009,,,,,33,,55,,,,,,
7000080,04/30/2009,,,,,44,,57,,,,,,
7000080,09/03/2009,,,,,14,,49,,,,,,
7000080,10/26/2009,,,,,15,,49,,,,,,
7000080,03/03/2010,,,,,32,,55,,,,,,
7000080,04/06/2010,,,,,21,,52,,,,,,
7000080,09/01/2010,,,,,15,,49,,,,,,
7000080,11/03/2010,,,,,16,,50,,,,,,
7000080,02/23/2011,,,,,32,,55,,,,,,
7000080,05/02/2011,,,,,24,,53,,,,,,
7000080,09/01/2011,,,,,20,,51,,,,,,
7000080,11/08/2011,,,,,17,,50,,,,,,
7000080,02/29/2012,,,,,29,,54,,,,,,
7000080,03/28/2012,,,,,22,,52,,,,,,
7000080,08/22/2012,,,,,6,,42,,,,,,
7000080,11/01/2012,,,,,12,,47,,,,,,
7000080,02/27/2013,,,,,35,,56,,,,,,
7000080,05/15/2013,,,,,27.3,,54,,,,,,
7000080,09/03/2013,,,,,19.2,,51,,,,,,
7000080,11/07/2013,,,,,18.5,,51,,,,,,
7000080,03/12/2014,,,,,33.7,,55,,,,,,
7000080,05/20/2014,,,,,29.2,,54,,,,,,
10588851,08/04/2014,,,,,13.5,,48,,,,,,
7000080,10/28/2014,,,,,17,,50,,,,,,
7000080,03/09/2015,,,,,50.1,,58,,,,,,
7000080,04/27/2015,,,,,26.3,,53,,,,,,
7000080,08/27/2015,,,,,25.1,,53,,,,,,
7000080,11/03/2015,,,,,17.4,,50,,,,,,
7000080,03/03/2016,,,,,30.9,,55,,,,,,
1,04/26/2016,,,,,24.6,,53,,,,,,
1,08/23/2016,,,,,26.1,,53,,,,,,
1,11/03/2016,,,,,27.5,,54,,,,,,
7000010,03/06/2017,,,,,40.1,,57,,,,,,
7000010,05/01/2017,,,,,30.1,,55,,,,,,
7000010,08/16/2017,,,,,22.2,,52,,,,,,
7000010,10/26/2017,,,,,28.7,,54,,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units



Start Date,Fieldwork Comment




Start Date,Group Name,Project Name
09/13/2007,KENNETH MORRISON,Sentinel Lakes Project
11/14/2007,KENNETH MORRISON,Sentinel Lakes Project
03/13/2008,KENNETH MORRISON,Sentinel Lakes Project
05/08/2008,KENNETH MORRISON,Sentinel Lakes Project
09/03/2008,KENNETH MORRISON,Sentinel Lakes Project
10/30/2008,KENNETH MORRISON,Sentinel Lakes Project
02/25/2009,KENNETH MORRISON,Sentinel Lakes Project
04/30/2009,KENNETH MORRISON,Sentinel Lakes Project
09/03/2009,KENNETH MORRISON,Sentinel Lakes Project
10/26/2009,KENNETH MORRISON,Sentinel Lakes Project
03/03/2010,KENNETH MORRISON,Sentinel Lakes Project
04/06/2010,KENNETH MORRISON,Sentinel Lakes Project
09/01/2010,KENNETH MORRISON,Sentinel Lakes Project
11/03/2010,KENNETH MORRISON,Sentinel Lakes Project
02/23/2011,KENNETH MORRISON,Sentinel Lakes Project
05/02/2011,KENNETH MORRISON,Sentinel Lakes Project
09/01/2011,KENNETH MORRISON,Sentinel Lakes Project
11/08/2011,KENNETH MORRISON,Sentinel Lakes Project
02/29/2012,KENNETH MORRISON,Sentinel Lakes Project
03/28/2012,KENNETH MORRISON,Sentinel Lakes Project
08/22/2012,KENNETH MORRISON,Sentinel Lakes Project
11/01/2012,KENNETH MORRISON,Sentinel Lakes Project
02/27/2013,KENNETH MORRISON,Sentinel Lakes Project
05/15/2013,KENNETH MORRISON,Sentinel Lakes Project
09/03/2013,KENNETH MORRISON,Sentinel Lakes Project
11/07/2013,KENNETH MORRISON,Sentinel Lakes Project
03/12/2014,KENNETH MORRISON,Sentinel Lakes Project
05/20/2014,KENNETH MORRISON,Sentinel Lakes Project
08/04/2014,JEFFREY RUBSAM,Sentinel Lakes Project
10/28/2014,KENNETH MORRISON,Sentinel Lakes Project
03/09/2015,KENNETH MORRISON,Sentinel Lakes Project
04/27/2015,KENNETH MORRISON,Sentinel Lakes Project
08/27/2015,KENNETH MORRISON,Sentinel Lakes Project
11/03/2015,KENNETH MORRISON,Sentinel Lakes Project
03/03/2016,KENNETH MORRISON,Sentinel Lakes Project
04/26/2016,Data Collectors,Sentinel Lakes Project
08/23/2016,Data Collectors,Sentinel Lakes Project
11/03/2016,Data Collectors,Sentinel Lakes Project
03/06/2017,CARL WATRAS,Sentinel Lakes Project
05/01/2017,CARL WATRAS,Sentinel Lakes Project
08/16/2017,CARL WATRAS,Sentinel Lakes Project
10/26/2017,CARL WATRAS,Sentinel Lakes Project
