Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Amik Lake,Vilas,2268600,NO,64,,643220,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,07/13/1984,4.3,,1.3,15,,56,,55,,,,,
1,10/10/1985,3,,0.9,,23,62,52,,,,,,
8189651,07/18/1996,3.5,NO,1.1,,,59,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189651,07/25/1996,3,NO,0.9,,,61,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189651,08/01/1996,3.25,NO,1,,,60,,,HIGH,,MURKY,YELLOW,1-Beautiful, could not be nicer
8189651,08/10/1996,3.5,NO,1.1,,,59,,,NORMAL- MODERATELY HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8189651,08/16/1996,3,NO,0.9,,,61,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8189651,08/24/1996,3.5,NO,1.1,,,59,,,,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,08/30/1996,3.25,NO,1,,,60,,,NORMAL, LOWER THAN LAST WEEK.,,MURKY,BROWN,2-Very minor aesthetic problems
8189651,09/05/1996,3,NO,0.9,,,61,,,HIGH,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,09/19/1996,3.25,YES,1,,,60,,,NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,10/03/1996,4.5,NO,1.4,,,55,,,,,MURKY,,1-Beautiful, could not be nicer
8189651,10/11/1996,5,NO,1.5,,,54,,,LOWEST IS HAS BEEN ALL SUMMER,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,10/16/1996,4,NO,1.2,,,57,,,LOW,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,05/28/1997,4.5,NO,1.4,,,55,,,HIGH AND NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,06/07/1997,5.5,NO,1.7,,,53,,,NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,06/12/1997,6,NO,1.8,,,51,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189651,06/25/1997,5.5,NO,1.7,,,53,,,LOW,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,07/13/1997,4,NO,1.2,,,57,,,NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,07/17/1997,4.5,NO,1.4,,,55,,,HIGH,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,07/27/1997,5,NO,1.5,,,54,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8189651,08/05/1997,5,NO,1.5,,,54,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8189651,08/11/1997,5,NO,1.5,,,54,,,LOW,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,08/17/1997,4.5,NO,1.4,,,55,,,LOW,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,08/26/1997,6,NO,1.8,,,51,,,,,,,
8189651,09/03/1997,5.5,NO,1.7,,,53,,,,,,,
8189651,09/11/1997,7,NO,2.1,,,49,,,,,,,
8189651,09/18/1997,6,NO,1.8,,,51,,,,,,,
8189651,09/24/1997,7,NO,2.1,,,49,,,,,,,
8189651,10/03/1997,7,NO,2.1,,,49,,,,,,,
8189650,10/17/1997,5.5,NO,1.7,,,53,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189650,04/24/1998,4.5,NO,1.4,,,55,,,LOW,,MURKY,BROWN,1-Beautiful, could not be nicer
8189650,04/30/1998,5,NO,1.5,,,54,,,LOW,,MURKY,BROWN,1-Beautiful, could not be nicer
8189650,05/09/1998,5,NO,1.5,,,54,,,LOW,,MURKY,BROWN,1-Beautiful, could not be nicer
8189650,05/19/1998,6,NO,1.8,,,51,,,LOW,,MURKY,BROWN,1-Beautiful, could not be nicer
8189650,05/26/1998,5,NO,1.5,,,54,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8189535,06/04/1998,6,NO,1.8,,,51,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8189651,06/14/1998,6,NO,1.8,,,51,,,LOW,,MURKY,BROWN,1-Beautiful, could not be nicer
8189535,06/19/1998,7,NO,2.1,,,49,,,LOW,,MURKY,BROWN,1-Beautiful, could not be nicer
8189535,07/02/1998,5,NO,1.5,,,54,,,,,MURKY,BROWN,2-Very minor aesthetic problems
8189535,07/15/1998,6,NO,1.8,,,51,,,LOW,,MURKY,BROWN,1-Beautiful, could not be nicer
8189535,07/18/1998,7,NO,2.1,,,49,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8189535,07/26/1998,6,NO,1.8,,,51,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189650,08/08/1998,6.5,NO,2,,,50,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189651,09/04/1998,7.75,YES,2.4,,,48,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189535,09/11/1998,7,NO,2.1,,,49,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8189651,09/16/1998,7,YES,2.1,,,49,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8189535,09/25/1998,7,NO,2.1,,,49,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189650,10/04/1998,7.5,NO,2.3,,,48,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189535,10/14/1998,8,NO,2.4,,,47,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189650,10/26/1998,7,NO,2.1,,,49,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189651,05/09/1999,5.25,NO,1.6,,,53,,,NO CHANGE,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,05/27/1999,6.5,NO,2,,,50,,,HIGH,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,06/03/1999,6,NO,1.8,,,51,,,NO CHANGE,,MURKY,BROWN,1-Beautiful, could not be nicer
8189650,06/10/1999,6,NO,1.8,,,51,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189535,06/16/1999,6,NO,1.8,,,51,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189535,06/24/1999,7,NO,2.1,,,49,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189535,07/01/1999,9,YES,2.7,,,45,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189651,07/10/1999,8,NO,2.4,,,47,,,HIGH,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,07/15/1999,7,NO,2.1,,,49,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189651,07/29/1999,8,YES,2.4,,,47,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189651,08/06/1999,6.5,NO,2,,,50,,,NO CHANGE,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,08/15/1999,6,NO,1.8,,,51,,,HIGH,,MURKY,BROWN,1-Beautiful, could not be nicer
8189535,08/20/1999,8,NO,2.4,,,47,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189535,08/27/1999,8,NO,2.4,,,47,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189651,09/16/1999,8.25,YES,2.5,,,47,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189535,09/30/1999,8,YES,2.4,,,47,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189535,10/14/1999,8,YES,2.4,,,47,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,05/16/2000,6,NO,1.8,,43,51,57,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189650,06/08/2000,6,NO,1.8,,,51,,,NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer
8189430,06/12/2000,5.5,NO,1.7,4.5,29,53,54,46,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189651,06/18/2000,6,NO,1.8,,,51,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189650,06/30/2000,7,NO,2.1,,,49,,,HIGH,,MURKY,BROWN,1-Beautiful, could not be nicer
8189650,07/04/2000,6,NO,1.8,,,51,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,07/17/2000,6,NO,1.8,6,26,51,53,48,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8189650,07/18/2000,7,NO,2.1,,,49,,,NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,07/25/2000,6,NO,1.8,,,51,,,NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer
