Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Rose Lake,Langlade,494200,NO,34,,343131,NE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190695,08/19/1989,9.25,NO,2.8,,,45,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190695,08/28/1989,9,NO,2.7,,,45,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190695,05/03/1990,8.75,NO,2.7,,,46,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190926,05/28/1990,14,NO,4.3,,,39,,,2-3" LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190926,06/08/1990,13,NO,4,,,40,,,6" LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190695,07/07/1990,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190926,07/14/1990,10.5,NO,3.2,,,43,,,4-6" LOW,,CLEAR,BLUE,
8190474,07/21/1990,11,NO,3.3,,,43,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190926,08/18/1990,13,NO,4,,,40,,,4-6" LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190474,08/25/1990,15.25,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190474,09/02/1990,17.25,NO,5.2,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190926,09/02/1990,14.5,NO,4.4,,,39,,,4-6" LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190926,09/16/1990,10.25,NO,3.1,,,44,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190926,05/20/1991,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190926,05/27/1991,13.5,NO,4.1,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190926,06/23/1991,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190474,06/30/1991,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190474,07/04/1991,15.25,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190474,08/10/1991,18.5,NO,5.6,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190926,08/10/1991,13.5,NO,4.1,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190474,09/01/1991,19.5,NO,5.9,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190926,09/02/1991,15,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190926,05/24/1992,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190926,06/06/1992,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190926,07/01/1992,22,YES,6.7,,,33,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190474,08/02/1992,19.5,YES,5.9,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190926,08/15/1992,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190926,08/22/1992,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190474,09/05/1992,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190926,10/03/1992,23.5,YES,7.1,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190474,05/29/1993,23,YES,7,,,32,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190317,06/13/1993,23,NO,7,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,06/28/1993,,,,,6,,42,,,,,,
8190569,06/28/1993,19,NO,5.8,2.01,,35,,40,8 INCHES HIGH,8,CLEAR,BLUE,1-Beautiful, could not be nicer
8190474,07/02/1993,17.5,NO,5.3,,,36,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190317,07/06/1993,15,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190474,07/10/1993,15.5,NO,4.7,,,38,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190474,07/24/1993,12.75,NO,3.9,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
