Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Hills Lake,Waushara,182100,NE,70,,703097,CE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190653,05/10/1987,16,NO,4.9,,,37,,,,,CLEAR,BLUE,
8190653,05/24/1987,15.5,NO,4.7,,,38,,,,,CLEAR,BLUE,
8190653,07/01/1987,12,NO,3.6,,,41,,,,,,GREEN,
8190653,07/31/1987,12,NO,3.6,,,41,,,,,,GREEN,
8190653,08/11/1987,8.5,NO,2.6,,,46,,,,,,GREEN,
8190653,09/06/1987,9,NO,2.7,,,45,,,,,,GREEN,
8190653,09/26/1987,9,NO,2.7,,,45,,,,,,GREEN,
8190653,11/14/1987,14.5,NO,4.4,,,39,,,,,CLEAR,BLUE,
8190653,05/15/1988,14.75,NO,4.5,,,38,,,,,CLEAR,BLUE,
8190653,05/30/1988,17,NO,5.2,,,36,,,,,CLEAR,BLUE,
8190653,07/17/1988,12.5,NO,3.8,,,41,,,,,,GREEN,2-Very minor aesthetic problems
8190653,07/31/1988,12.25,NO,3.7,,,41,,,,,,GREEN,2-Very minor aesthetic problems
8190653,08/07/1988,9.25,NO,2.8,,,45,,,LOW,,,GREEN,2-Very minor aesthetic problems
8190653,08/14/1988,9,NO,2.7,,,45,,,LOW,,,GREEN,2-Very minor aesthetic problems
8190653,10/15/1988,12.75,NO,3.9,,,40,,,LOW,,,GREEN,2-Very minor aesthetic problems
8190653,05/14/1989,14.5,NO,4.4,,,39,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,06/17/1989,14,NO,4.3,,,39,,,LOW,,,GREEN,
8190653,07/16/1989,12,NO,3.6,,,41,,,LOW,,,GREEN,2-Very minor aesthetic problems
8190653,07/29/1989,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,08/05/1989,15.25,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,10/23/1989,17.75,YES,5.4,,,36,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,05/28/1990,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,07/08/1990,12.75,NO,3.9,,,40,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,07/25/1990,13.75,NO,4.2,,,39,,,LOW,,,SLIGHT GREEN,2-Very minor aesthetic problems
8190653,08/12/1990,13,NO,4,,,40,,,LOW,,,SLT. GREEN,2-Very minor aesthetic problems
8190653,06/16/1991,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/29/1991,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,
8191010,07/02/1991,10.5,NO,3.2,,,43,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191010,07/15/1991,12.5,NO,3.8,,,41,,,LOW,,,GREEN,1-Beautiful, could not be nicer
8191010,09/02/1991,11.5,NO,3.5,,,42,,,LOW,,,GREEN,2-Very minor aesthetic problems
8190653,10/13/1991,15,YES,4.6,,,38,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,05/31/1992,16.5,YES,5,,,37,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,06/20/1992,16.3,YES,5,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,08/16/1992,13.75,NO,4.2,,,39,,,LOW,,,LT.GREEN,2-Very minor aesthetic problems
8190653,05/29/1993,18,YES,5.5,,,35,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,07/03/1993,13.5,YES,4.1,,,40,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,07/10/1993,12,NO,3.6,,,41,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,07/21/1993,10.5,NO,3.2,,,43,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,08/21/1993,11,NO,3.3,,,43,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,08/28/1993,10.5,NO,3.2,,,43,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190653,07/05/1994,8.5,NO,2.6,,,46,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190653,07/30/1994,8,NO,2.4,,,47,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190176,07/07/1995,11,NO,3.3,,,43,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190176,07/13/1995,9,NO,2.7,,,45,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190176,07/21/1995,12.5,NO,3.8,,,41,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190176,07/29/1995,15,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190176,08/14/1995,13,NO,4,,,40,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8191110,08/22/1995,13,NO,4,,,40,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8191110,08/26/1995,12.5,NO,3.8,,,41,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8191110,09/03/1995,9.75,NO,3,,,44,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
