Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Gull Lake,Burnett,2671100,NO,7,,073078,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8191124,05/24/1992,8.5,NO,2.6,,,46,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191124,05/29/1992,13,NO,4,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191124,06/05/1992,10.75,NO,3.3,,,43,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,06/10/1992,19.75,NO,6,,,34,,,NORMAL,,,LIGHT GREEN,1-Beautiful, could not be nicer
8191124,06/12/1992,10,NO,3,,,44,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,06/20/1992,7.25,NO,2.2,,,49,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,07/05/1992,9.75,NO,3,,,44,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,08/05/1992,8.75,NO,2.7,,,46,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,08/14/1992,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,08/31/1992,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,09/08/1992,8,NO,2.4,,,47,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,09/17/1992,10,NO,3,,,44,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,09/27/1992,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,10/03/1992,11,NO,3.3,,,43,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,10/11/1992,11,NO,3.3,,,43,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,05/14/1993,5.75,NO,1.7,,,52,,,HIGH,,,BROWN,1-Beautiful, could not be nicer
8191124,05/21/1993,7.75,NO,2.4,,,48,,,HIGH,,CLEAR,BLUE/GREEN,1-Beautiful, could not be nicer
8191124,06/05/1993,11.25,NO,3.4,,,42,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191124,06/11/1993,8.25,NO,2.5,,,47,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191124,06/21/1993,6.75,NO,2.1,,,50,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
1,06/28/1993,,,,,24,,53,,,,,,
8191124,06/28/1993,6.5,NO,2,4.35,,50,,46,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
1,07/12/1993,,,,,21,,52,,,,,,
8191124,07/12/1993,5.25,NO,1.6,3.89,,53,,45,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,08/07/1993,11.75,NO,3.6,,,42,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,08/28/1993,8.75,NO,2.7,,,46,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
1,08/31/1993,,,,5.47,,,,48,,,,,
8191124,08/31/1993,8.5,NO,2.6,,18,46,51,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,05/07/1994,7.5,NO,2.3,,,48,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191124,05/08/1994,7.5,NO,2.3,5.6,26,48,53,48,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191124,05/27/1994,9,NO,2.7,,,45,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,06/24/1994,7,NO,2.1,,,49,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,06/25/1994,6,NO,1.8,4.31,23,51,52,46,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,07/01/1994,8.75,NO,2.7,,,46,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,07/17/1994,8.5,NO,2.6,,,46,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,07/18/1994,8.5,NO,2.6,3.42,22,46,52,44,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,07/24/1994,9.5,NO,2.9,,,45,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,08/04/1994,8.75,NO,2.7,,,46,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,08/14/1994,10.25,NO,3.1,,,44,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,08/21/1994,9,NO,2.7,4.25,21,45,52,46,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,08/26/1994,8.25,NO,2.5,,,47,,,NO CHANGE,,CLEAR,BROWN,
8191124,09/08/1994,10,NO,3,,,44,,,NO CHANGE,,MURKY,BROWN,1-Beautiful, could not be nicer
8191124,09/17/1994,7.5,NO,2.3,,,48,,,HIGH, UP 5-6",,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,09/29/1994,7.5,NO,2.3,,,48,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,10/10/1994,9.25,NO,2.8,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,10/14/1994,9.25,NO,2.8,10.8,19,45,51,53,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,05/06/1995,6.75,NO,2.1,5.22,16,50,50,47,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,05/19/1995,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,05/26/1995,7,NO,2.1,,,49,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,06/03/1995,7.25,NO,2.2,,,49,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,06/09/1995,5.5,NO,1.7,,,53,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,06/16/1995,7.5,NO,2.3,1.32,18,48,51,37,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,06/23/1995,6.25,NO,1.9,,,51,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,07/01/1995,6.5,NO,2,,,50,,,NORMAL,,CLEAR,BROWN,
8191124,07/14/1995,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,07/16/1995,9,NO,2.7,0.2,15,45,49,23,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,07/28/1995,8.25,NO,2.5,,,47,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,08/19/1995,8.13,NO,2.5,,,47,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,09/04/1995,7,NO,2.1,2.21,31,49,55,41,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,09/09/1995,6.5,NO,2,,,50,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,10/08/1995,10,NO,3,3.88,31,44,55,45,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,05/11/1996,5.75,NO,1.7,5.84,23,52,52,48,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8191124,05/18/1996,7,NO,2.1,,,49,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,06/02/1996,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,06/08/1996,5.75,NO,1.7,2.36,17,52,50,41,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8191124,06/14/1996,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8191124,06/29/1996,8.25,NO,2.5,,,47,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,07/16/1996,6.75,NO,2.1,,,50,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,07/17/1996,6.75,NO,2.1,2.17,18,50,51,41,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,07/20/1996,6.25,NO,1.9,,,51,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,08/11/1996,8.25,NO,2.5,,,47,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,08/15/1996,7,NO,2.1,,,49,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,08/17/1996,7,NO,2.1,2.48,22,49,52,42,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,08/23/1996,9.25,NO,2.8,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,08/28/1996,4.25,NO,1.3,,,56,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8191124,10/12/1996,10,NO,3,4.59,22,44,52,46,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,05/17/1997,7.5,NO,2.3,,52,48,59,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,06/01/1997,8.25,NO,2.5,,,47,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,07/27/1997,11.3,NO,3.4,2.4,145,42,67,41,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,08/02/1997,6.25,NO,1.9,,,51,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,08/10/1997,7.25,NO,2.2,,,49,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,08/18/1997,9.5,NO,2.9,2.94,50,45,58,43,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,09/21/1997,5.5,NO,1.7,,,53,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,09/26/1997,8.25,NO,2.5,,,47,,,HIGH,,CLEAR,BROWN,
8191124,10/04/1997,11,NO,3.3,2.85,29,43,54,43,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,05/03/1998,7,NO,2.1,,35,49,56,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,05/10/1998,5.75,NO,1.7,,,52,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,05/25/1998,9.25,NO,2.8,,,45,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,06/13/1998,11.25,NO,3.4,2.92,20,42,51,43,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,07/04/1998,5.75,NO,1.7,,,52,,,,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,07/13/1998,7.75,NO,2.4,2.89,26,48,53,43,,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,08/01/1998,7.75,NO,2.4,,,48,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,08/09/1998,8.25,NO,2.5,,,47,,,,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,08/21/1998,7.5,NO,2.3,,,48,,,,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,08/29/1998,8.5,NO,2.6,4.33,28,46,54,46,,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,09/18/1998,9,NO,2.7,,,45,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,10/09/1998,11.75,NO,3.6,3.62,14,42,49,45,,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,05/02/1999,7.75,NO,2.4,,28,48,54,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,05/27/1999,8,NO,2.4,,,47,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,07/10/1999,6,NO,1.8,2.12,133,51,66,40,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,07/21/1999,7,NO,2.1,,,49,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,08/06/1999,8.25,NO,2.5,,,47,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,08/21/1999,9.25,NO,2.8,0.94,24,45,53,34,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,08/29/1999,8.75,NO,2.7,,,46,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,10/02/1999,9.5,NO,2.9,3.07,26,45,53,43,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,06/25/2000,10,NO,3,,,44,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190116,07/14/2000,6.5,NO,2,,,50,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,08/09/2000,5.25,NO,1.6,,,53,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190116,09/24/2000,10.25,NO,3.1,,,44,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190116,05/12/2001,6.5,NO,2,,,50,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,06/03/2001,7.5,NO,2.3,,,48,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,06/16/2001,10.5,NO,3.2,,,43,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,07/12/2001,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,08/04/2001,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,08/19/2001,9.75,NO,3,,,44,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,09/28/2001,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,05/31/2002,6.75,NO,2.1,,,50,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,06/15/2002,7,NO,2.1,,,49,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,06/29/2002,6,NO,1.8,,,51,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,07/11/2002,6.5,NO,2,,,50,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,07/28/2002,5.5,NO,1.7,,,53,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,08/25/2002,6,NO,1.8,,,51,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,09/07/2002,3.75,NO,1.1,,,58,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,06/14/2003,6.5,NO,2,,,50,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,07/19/2003,4.75,NO,1.4,,,55,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191238,05/17/2004,8,NO,2.4,,24,47,53,,,,,,
8191124,06/06/2004,7,NO,2.1,,,49,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191203,06/12/2004,4.5,NO,1.4,,,55,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191204,06/19/2004,4.75,NO,1.4,,,55,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,07/08/2004,5.5,NO,1.7,,,53,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191205,07/12/2004,6,NO,1.8,,,51,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190116,07/19/2004,5.5,NO,1.7,,,53,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191206,07/25/2004,4.75,NO,1.4,,,55,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191203,08/06/2004,5.75,NO,1.7,,,52,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191226,08/10/2004,7,NO,2.1,10.2,27,49,54,52,,,,,
8191124,06/12/2005,7,NO,2.1,,,49,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191399,06/19/2005,6,NO,1.8,,,51,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191399,06/25/2005,6,NO,1.8,,,51,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,07/02/2005,4.75,NO,1.4,,,55,,,NORMAL,1.72,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,07/09/2005,7.5,NO,2.3,,,48,,,NORMAL,1.6,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,07/17/2005,5.25,NO,1.6,,,53,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8191124,07/27/2005,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,08/06/2005,5.25,NO,1.6,,,53,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8191124,08/27/2005,6,NO,1.8,,,51,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191124,09/18/2005,5,NO,1.5,,,54,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
