Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
McCarthy Lake,Iron,2931100,NO,26,,10047975,NW,DRAINED



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
14842749,04/24/2017,,,,,16,,50,,,,,,
1,05/10/2017,,,,,21.2,,52,,,,,,
1,06/05/2017,,,,,21.2,,52,,,,,,
1,06/19/2017,,,,,19.3,,51,,,,,,
1,07/03/2017,,,,,18,,51,,,,,,
1,07/18/2017,,,,,21.5,,52,,,,,,
1,08/01/2017,,,,,19.9,,51,,,,,,
1,08/15/2017,,,,,20,,51,,,,,,
1,08/28/2017,,,,,19.9,,51,,,,,,
14842749,09/13/2017,,,,,23.1,,52,,,,,,
99815705,10/03/2017,,,,,21.5,,52,,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units



Start Date,Fieldwork Comment




Start Date,Group Name,Project Name
04/24/2017,Matt Hudson,Water Quality Monitoring - Northland College
05/10/2017,Data Collectors,Water Quality Monitoring - Northland College
06/05/2017,Data Collectors,Water Quality Monitoring - Northland College
06/19/2017,Data Collectors,Water Quality Monitoring - Northland College
07/03/2017,Data Collectors,Water Quality Monitoring - Northland College
07/18/2017,Data Collectors,Water Quality Monitoring - Northland College
08/01/2017,Data Collectors,Water Quality Monitoring - Northland College
08/15/2017,Data Collectors,Water Quality Monitoring - Northland College
08/28/2017,Data Collectors,Water Quality Monitoring - Northland College
09/13/2017,Matt Hudson,Water Quality Monitoring - Northland College
10/03/2017,Marina Hein,Water Quality Monitoring - Northland College
