Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
1,04/13/1976,4.9,,1.5,,,54,,
1,07/07/1976,6.6,,2,,,50,,
1,10/25/1976,4.1,,1.25,,,57,,
1,03/09/1994,,,,,76,,62,
1,06/27/1994,,,,7.56,25,,53,50
1,07/18/1994,6,,1.83,8.96,35,51,56,51
1,08/15/1994,5,,1.52,17.1,33,54,55,56
1,08/16/1994,,,,,,,,
135619862,06/27/2017,4.5,NO,1.4,,,55,,
7000093,07/19/2017,,,,24.5,52.9,,59,59
144883596,07/19/2017,,,,,,,,
147430520,08/22/2017,5.5,,1.7,10.1,30.4,53,55,52
144883596,09/11/2017,4.5,NO,1.4,18.2,45.5,55,58,57
