Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
1,09/22/1992,24.3,,7.4,4.81,70,31,61,47
1,02/02/1993,,,,,8,,44,
1,05/20/1993,,,,4.7,20,,51,46
1,08/17/1993,,,,4.94,9,,45,47
1,10/06/1993,,,,6.91,8,,44,49
1,01/24/1994,,,,,18,,51,
1,05/03/1994,27.9,,8.5,6.79,12,29,47,49
8190880,05/03/1994,8.5,NO,2.6,,,46,,
1,08/03/1994,,,,4.78,6,,42,47
8190880,08/03/1994,8,NO,2.4,,,47,,
1,09/22/1994,,,,3.62,6,,42,45
8190880,09/22/1994,8,NO,2.4,,,47,,
1,07/26/2016,4.6,N,1.4,0.831,11.3,55,47,33
