Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Beaver Dam Lake,Barron,2081200,NO,3,,033132,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,05/27/1992,9.5,,2.89,4,7,45,43,45,,,,,
1,06/24/1992,10.5,,3.2,39,40,43,57,62,,,,,
8190878,06/30/1992,12,NO,3.6,,,41,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190878,07/16/1992,11.5,NO,3.5,,,42,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
1,08/11/1992,,,,4.85,63,,60,47,,,,,
8190878,08/19/1992,12,NO,3.6,,,41,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190018,05/16/1994,11.5,NO,3.5,,,42,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
1,05/17/1994,,,,,,,,,,,,,
8190018,06/03/1994,13.75,NO,4.2,,,39,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
1,06/21/1994,,,,,,,,,,,,,
1,08/16/1994,,,,,,,,,,,,,
1,09/20/1994,,,,,,,,,,,,,
8190018,06/12/1995,15,NO,4.6,,,38,,,,,,,2-Very minor aesthetic problems
8190018,07/07/1995,14.5,NO,4.4,,,39,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190018,07/26/1995,15.75,NO,4.8,,,37,,,NORMAL,,CLEAR,BLUE/GREEN,1-Beautiful, could not be nicer
8190018,08/23/1995,12.25,NO,3.7,,,41,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190018,09/05/1995,12.25,NO,3.7,,,41,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190018,06/13/1996,14,NO,4.3,,,39,,,,,CLEAR,GREEN,
8190018,07/22/1996,15.25,NO,4.6,,,38,,,,,CLEAR,GREEN,
8190018,08/02/1996,12.5,NO,3.8,,,41,,,,,CLEAR,GREEN,
8190018,09/18/1996,15,NO,4.6,,,38,,,,,CLEAR,GREEN,
8190018,05/30/1997,12,NO,3.6,,,41,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
8190018,06/26/1997,15.5,NO,4.7,,,38,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190018,08/28/1997,11.5,NO,3.5,,,42,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190018,05/26/1998,11,NO,3.3,,,43,,,NO CHANGE,,CLEAR,GREEN,2-Very minor aesthetic problems
8190018,07/09/1998,12.5,NO,3.8,,,41,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190018,07/30/1998,13.5,NO,4.1,,,40,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190018,07/31/1998,12,NO,3.6,,,41,,,NO CHANGE,,CLEAR,GREEN,2-Very minor aesthetic problems
